source,target,lag,selected,connection_type,p_value,effect_size,abs_effect_size,p_gt_pc_alpha,selection_note,connection_string
cB,theta,2,False,,0.6199884819029369,-0.01575472030079847,0.01575472030079847,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (2,0)"
cB,theta,3,False,,0.8709980225483148,-0.005159784666563454,0.005159784666563454,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (2,0)"
cB,thetaK,0,False,,0.1033489712316289,0.05174600337477475,0.05174600337477475,True,not_selected_p_value_gt_pc_alpha,"(1,0) [none] (3,0)"
cB,thetaK,1,False,,0.4808512459277686,0.022407121327682078,0.022407121327682078,True,not_selected_p_value_gt_pc_alpha,"(1,-1) [none] (3,0)"
cB,thetaK,2,False,,0.6945369136469194,0.012483669866546011,0.012483669866546011,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (3,0)"
cB,thetaK,3,False,,0.4328957699253051,0.024927395550148522,0.024927395550148522,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (3,0)"
cB,F,0,False,,0.3682780652441928,-0.028566983046923847,0.028566983046923847,True,not_selected_p_value_gt_pc_alpha,"(1,0) [none] (4,0)"
cB,F,1,False,,0.5618896745028519,-0.018419271869694814,0.018419271869694814,True,not_selected_p_value_gt_pc_alpha,"(1,-1) [none] (4,0)"
cB,F,2,False,,0.5445543949877579,-0.019241691395082017,0.019241691395082017,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (4,0)"
cB,F,3,False,,0.5133354201730062,-0.0207564965406951,0.0207564965406951,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (4,0)"
cB,QK,0,False,,0.9493012592665651,0.002019309281722466,0.002019309281722466,True,not_selected_p_value_gt_pc_alpha,"(1,0) [none] (5,0)"
cB,QK,1,False,,0.9514844249208975,0.0019322450887293294,0.0019322450887293294,True,not_selected_p_value_gt_pc_alpha,"(1,-1) [none] (5,0)"
cB,QK,2,False,,0.9524905102263381,0.0018921275355277076,0.0018921275355277076,True,not_selected_p_value_gt_pc_alpha,"(1,-2) [none] (5,0)"
cB,QK,3,False,,0.9549704461325563,0.0017932530729545346,0.0017932530729545346,True,not_selected_p_value_gt_pc_alpha,"(1,-3) [none] (5,0)"
cB,cA0,0,False,,0.8649906088034361,0.00539961504309106,0.00539961504309106,True,not_selected_p_value_gt_pc_alpha,"(1,0) [none] (6,0)"
