source,target,lag,p_value,effect_size,abs_effect_size
cA,cA,1,0.001996007984031936,0.1647918696363302,0.1647918696363302
cB,cB,1,0.001996007984031936,0.19801130255064292,0.19801130255064292
theta,theta,1,0.001996007984031936,0.2012085983113594,0.2012085983113594
thetaK,thetaK,1,0.001996007984031936,0.1980858445822653,0.1980858445822653
