T1,T2,H
350,345,200000
450,425,196251.759387431
538.125879693715,497.500703754972,192322.279968462
615.474431708575,562.992062960734,190100.899303753
683.977438189594,622.683017960181,187033.778476583
744.096583608926,676.6703030038,183553.843011186
796.463846753626,725.216567482989,179755.784462508
841.695354309518,768.602638706768,175280.012311236
880.165825034184,806.944445728255,172512.050522188
913.40526779186,841.303432507511,169319.83220829
941.724657116819,871.808607952764,166816.753257222
965.960568033748,899.024663659196,162579.927448321
985.654474954534,922.504784864084,161192.096492734
1002.68507570545,943.668764596372,158992.76548874
1016.91295087927,962.36571344714,154776.259814781
1027.60978569874,977.973788864517,153253.715113484
1036.4756646856,991.802240745071,150111.90873168
1042.88405258288,1003.33683618186,147912.265204084
1047.55177992664,1013.12647954986,145666.523172437
1050.62986352019,1021.28360285259,142360.546684718
1051.74715051053,1027.50655131254,137126.471147368
1050.13567103316,1031.16914842304,135376.585258164
1047.81039655893,1033.85709639458,132778.271527292
1044.41849266668,1035.3041227759,129967.441480435
1039.96036414023,1035.51829015988,128220.230164171
1035.07444280829,1035.01751046356,125393.545607328
1029.26377133113,1033.42361542173,123974.84422183
1023.32481630893,1031.38178195383,122059.494278652
1017.02208181736,1028.72694601875,119033.850489173
1009.83679888021,1025.06096526301,117886.782928768
1002.79651045658,1021.2111060398,116396.512183524
995.715115502681,1017.05387796022,115708.736168569
988.997972036697,1012.93333158063,112887.634576765
981.54199212141,1007.99338554279,110110.899771117
973.443242794827,1002.31324153553,108589.044035791
965.39344053324,996.45036603468,107446.259796464
957.577226378148,990.570092500664,106483.60535216
950.061306416413,984.745777703978,104715.387874518
942.412869712031,978.650999525987,102734.239212806
934.53870234723,972.22087024666,101674.822987545
926.92224360628,965.849234173179,101944.77511598
920.202406803642,960.063451656583,101130.27970419
913.747305975373,954.385804664015,99529.3119995294
907.1372313776,948.493594114025,97295.9760716121
900.071496275646,942.149964984118,96174.127101162
893.151410198663,935.833368450774,94087.1205001974
885.879829428895,929.155714017045,92757.4474608427
878.670570216427,922.447014450104,91989.7381946369
871.798382292103,915.934383644201,91380.8488232888
865.308968474537,909.666644400201,90445.9725905276
859.001057922347,903.495035106397,90316.4739912234
853.259189125724,897.734497069907,90662.4043575
848.264472391901,892.544371532664,87253.6995174303
842.064874911427,886.380023474686,84020.787013032
834.8687809268,879.384836519297,81697.799326208
827.230802497224,871.985093510833,78338.2422538103
818.676843374407,863.796508399045,76675.5048251908
810.146911449561,855.556972199193,75061.1789848821
801.662809797046,847.289670878206,74060.5853399214
793.526821487302,839.242179698309,73112.4041520928
785.730341414618,831.418977881773,71207.6955147789
777.761155030546,823.420632746552,69207.5861017881
769.588832578386,815.222119731276,68847.5288922768
762.053713766685,807.494472308341,67318.1248234542
754.507404801744,799.734636814597,64824.9519062336
746.469140274686,791.559519815995,63754.8434955553
738.699647994995,783.569493228018,62896.3948163773
731.277880603685,775.835339162468,61437.0960631132
723.868640574873,768.097527150528,61076.7056414056
717.020129338088,760.7958948708,60284.5426868166
710.460387747688,753.725019830217,59066.9571955714
703.947827570705,746.697426221179,58038.4733379662
697.572281482617,739.785508589777,57529.3472718569
691.579726970284,733.188334354287,56129.1074385175
685.486307992514,726.525852253122,54138.6755922648
679.007014989395,719.566883571044,53080.7800728879
