t,T1,T2,T3,T4,C,P,H,u1,u2,u3,u4
18.5,22.4684916090627,23.1960342045641,22.1977161818529,22.2107349151778,22.4874359979561,0.0404448971985737,0.367810351534806,0,0,0,0
19,22.4596313261713,23.0739174630707,22.192166079797,22.2032434235968,22.4617197889795,0.0413242790602786,0.409969357453824,0,0,0,0
19.5,22.4562886758017,22.9734835054302,22.1863612239822,22.1957047942876,22.4428691025315,0.04395481883194,0.456953681173299,0,0,0,0
20,22.4577023689311,22.8916137626327,22.5454049889803,22.1885469832989,22.4332220568252,0.157787696729834,0.496086677710479,0,0,1.24814912353949,0
20.5,22.4624705543389,22.8251146093555,23.1852494652326,22.1827285799336,22.4471001256438,0.306502438783,0.517087856710703,0,0,1.24814912353949,0
21,22.4686590899196,22.7706717400579,23.3660577224844,22.1791942990898,22.4726232084272,0.280732876635322,0.5142919741931,0,0,0,0
21.5,22.4731532897361,22.7241068361958,23.1980084725742,22.1774107094484,22.4847177816913,0.184958020302794,0.48854772204206,0,0,0,0
22,22.4732331356934,22.6817242028522,23.0536649543178,22.1762342436849,22.483384132298,0.12842933232406,0.446697316471486,0,0,0,0
22.5,22.4677378008467,22.6412553802427,22.9291182845378,22.1748521281189,22.4719959603058,0.0936055250497408,0.399890797923915,0,0,0,0
23,22.4573276872673,22.6021219925075,22.8212118605329,22.1728046443046,22.4539061964293,0.0714486927046781,0.360714202130192,0,0,0,0
23.5,22.4440813805954,22.5650969366723,22.7274054346099,22.1699136009746,22.432605543452,0.0572745026785535,0.339672160017533,0,0,0,0
24,22.4308560445262,22.5317687776665,22.6456662516015,22.1662347063087,22.4114671867339,0.0487015321376052,0.342424630585083,0,0,0,0
24.5,22.4204714445453,22.503868036722,22.5743917189543,22.1620002079869,22.3932732284025,0.0444713846689384,0.368209562981746,0,0,0,0
25,22.4149032844201,22.4825825557578,22.5123119576675,22.1575374469689,22.3797381376294,0.0436578560751073,0.410018977506454,0,0,0,0
25.5,22.4148898087157,22.46818557526,22.4583668840045,22.1531810113603,22.3713659737668,0.0452918735917372,0.456895687140033,0,0,0,0
26,22.4195561031053,22.4597192822267,22.4116523444049,22.1491971417717,22.3672604317869,0.048256572199902,0.496226621285014,0,0,0,0
26.5,22.4268446435863,22.4552839148143,22.3713190702148,22.1457347455656,22.3655952929938,0.0513598278619773,0.51723629172556,0,0,0,0
27,22.4339211649103,22.4523502997814,22.3366170305938,22.4047216033473,22.3691242207653,0.125469904801676,0.51442133634681,0,0,0,0.464668897345596
27.5,22.4385078713953,22.4488680333391,22.307085813442,22.6342819463624,22.378972870884,0.170524678363904,0.488657841584164,0,0,0,0.464668897345596
28,22.4388160363357,22.4431431371068,22.2820778925532,22.5648246468134,22.3847319244663,0.123208447585465,0.44680838191687,0,0,0,0
28.5,22.4339395908802,22.4341489636814,22.2605779939237,22.4921517574699,22.3804554083216,0.0905262291088318,0.400074899305699,0,0,0,0
29,22.4244545087021,22.4220841741692,22.241708021011,22.431309056409,22.3693250726437,0.0697334189093465,0.360879397358509,0,0,0,0
29.5,22.4123362828838,22.4083442244205,22.2248521540882,22.3799528027063,22.3547475188172,0.0562888297671089,0.339798940219504,0,0,0,0
30,22.4003999166913,22.3950875210784,22.2096507535677,22.336381947781,22.3400245316747,0.0481349729677316,0.34250079238017,0,0,0,0
30.5,22.3914274568422,22.3845195046022,22.1959348809202,22.2993625418313,22.3279010327182,0.0441477845792956,0.368269519899877,0,0,0,0
31,22.3873873866741,22.3782506375146,22.1836637115859,22.2680010873723,22.3200980729775,0.0434746850587679,0.410179806104823,0,0,0,0
31.5,22.3888869368244,22.3768241723135,22.1728513090891,22.2416195457425,22.3170217314041,0.0451885542744756,0.456994548492419,0,0,0,0
32,22.3950898462489,22.379613202964,22.1634971269419,22.2196338294075,22.317838448998,0.0481990264999851,0.496297639736256,0,0,0,0
32.5,22.4039037843289,22.3849512058496,22.1555390415418,22.2014798307785,22.3207293715221,0.051342518098893,0.517643228740991,0,0,0,0
33,22.41251029508,22.3905408540022,22.1488281961131,22.1865678446836,22.3233866833649,0.0535657332623064,0.515224331127659,0,0,0,0
33.5,22.418110692585,22.3940459869775,22.143129018441,22.1742714558237,22.3236459011957,0.0541423292707638,0.48960660250334,0,0,0,0
34,22.4186840462933,22.3937124683764,22.1381525014512,22.1639579800899,22.3200742979205,0.0528261855431238,0.447515584258031,0,0,0,0
34.5,22.4136060480505,22.3888981300306,22.1336065970454,22.1550490041058,22.3124257871392,0.0499349888634927,0.400397104153397,0,0,0,0
35,22.4037971980395,22.3802345948448,22.1292586883324,22.1470874264851,22.3016815216514,0.0462281318232567,0.360948214072002,0,0,0,0
35.5,22.3914895042346,22.3694529487187,22.1249789356658,22.1397837681908,22.2897776994353,0.0426974527174072,0.339815017573439,0,0,0,0
36,22.37959538964,22.3588889436753,22.1207594729945,22.1330292668507,22.2790469655766,0.0402810916439957,0.34260437699647,0,0,0,0
36.5,22.3709186669315,22.3508468994764,22.1166987457198,22.1268678613779,22.2715836182603,0.0396164296593807,0.368517950669981,0,0,0,0
37,23.3674922685822,22.3470715035232,22.1129989876078,22.1214873346889,22.2749893277066,0.357655355356592,0.410477128172608,4.80892009394567,0,0,0
37.5,26.4966288228425,22.3505211327731,22.1120703301709,22.1199153791693,22.378841357282,1.1515548752573,0.457236436990976,4.80892009394567,0,0,0
38,28.1332044462792,22.3652116066066,22.1183304769815,22.1276455168423,22.5622686448897,1.30288372762081,0.496256675755035,0,0,0,0
38.5,27.1908454604459,22.3888397253758,22.1314101600663,22.1438891307856,22.6949864256833,0.775364073159733,0.517087072131065,0,0,0,0
39,26.4133868130982,22.4146271768938,22.1471747360735,22.1631422983674,22.7615129131409,0.471496327434625,0.514335135036881,0,0,0,0
